Air Quality Station Name,Year,Air Pollutant,value,Longitude,Latitude
Monaghan Kilkitt Waterworks,2008,PM10,10.074,-6.8831,54.0661
Cork Ballinlough Heatherton Park,2008,PM10,14.886,-8.4571,51.8819
NA,2008,PM10,15.606,-8.475,51.9
Galway City Bodkin Roundabout,2008,PM10,17.741,-9.0492,53.2817
Dublin Tallaght Old Bawn Road,2009,PM10,11.544,-6.3588,53.2805
Dublin Blanchardstown River Road,2009,PM10,19.728,-6.3699,53.3856
NA,2009,PM10,16.006,-7.738,54.9589
NA,2009,PM10,13.578,-6.7958,53.1894
Clare Ennis Simms Lane,2009,PM10,15.748,-8.5919,52.5035
NA,2009,PM10,19.177,-6.3194,53.7314
Monaghan Kilkitt Waterworks,2009,PM10,7.552,-6.8831,54.0661
Dublin Winetavern Street,2009,PM10,17.286,-6.2889,53.3417
Dublin Phoenix Park Ordnance Survey Road,2009,PM10,10.186,-6.349,53.3644
Dublin Ballyfermot Library,2009,PM10,12.439,-6.3523,53.3405
Galway City Bodkin Roundabout,2009,PM10,13.961,-9.0492,53.2817
NA,2009,PM10,14.404,-6.2142,53.3415
Mayo Castlebar John Moore Road,2009,PM10,13.194,-9.2997,53.8511
NA,2009,PM10,18.166,-8.475,51.9
Dublin Rathmines Wynnefield Road,2009,PM10,14.74,-6.2781,53.3539
Dublin Dun Laoghaire The Glen,2009,PM10,15.363,-6.1319,53.2858
Cork Ballinlough Heatherton Park,2009,PM10,14.988,-8.4571,51.8819
Dublin Dun Laoghaire The Glen,2010,PM10,15.466,-6.1319,53.2858
Wicklow Bray Wurzburg Road,2010,PM10,12.725,-6.1217,53.1872
Dublin Tallaght Old Bawn Road,2010,PM10,11.788,-6.3588,53.2805
NA,2010,PM10,17.533,-6.3239,53.2014
Mayo Castlebar John Moore Road,2010,PM10,15.476,-9.2997,53.8511
Monaghan Kilkitt Waterworks,2010,PM10,9.545,-6.8831,54.0661
NA,2010,PM10,19.866,-6.7958,53.1894
NA,2010,PM10,22.181,-8.475,51.9
Cork Ballinlough Heatherton Park,2010,PM10,17.835,-8.4571,51.8819
Dublin Winetavern Street,2010,PM10,18.548,-6.2889,53.3417
Galway City Bodkin Roundabout,2010,PM10,16.354,-9.0492,53.2817
Dublin Phoenix Park Ordnance Survey Road,2010,PM10,11.093,-6.349,53.3644
NA,2010,PM10,23.102,-6.2142,53.3415
Clare Ennis Simms Lane,2010,PM10,27.493,-8.5919,52.5035
Dublin Ballyfermot Library,2010,PM10,12.537,-6.3523,53.3405
Dublin Rathmines Wynnefield Road,2010,PM10,18.134,-6.2781,53.3539
Dublin Dun Laoghaire The Glen,2011,PM10,14.778,-6.1319,53.2858
NA,2011,PM10,23.599,-6.3239,53.2014
NA,2011,PM10,11.341,-8.8778,52.7063
Clare Ennis Simms Lane,2011,PM10,21.188,-8.5919,52.5035
Mayo Castlebar John Moore Road,2011,PM10,14.327,-9.2997,53.8511
Mayo Claremorris,2011,PM10,11.518,-9.0127,53.7039
Dublin Tallaght Old Bawn Road,2011,PM10,13.218,-6.3588,53.2805
Monaghan Kilkitt Waterworks,2011,PM10,9.409,-6.8831,54.0661
NA,2011,PM10,20.645,-8.475,51.9
Galway City Bodkin Roundabout,2011,PM10,17.12,-9.0492,53.2817
Dublin Winetavern Street,2011,PM10,14.427,-6.2889,53.3417
Dublin Phoenix Park Ordnance Survey Road,2011,PM10,11.99,-6.349,53.3644
Cork Ballinlough Heatherton Park,2011,PM10,16.649,-8.4571,51.8819
Dublin Rathmines Wynnefield Road,2011,PM10,16.06,-6.2781,53.3539
Wicklow Bray Wurzburg Road,2011,PM10,12.599,-6.1217,53.1872
NA,2011,PM10,19.705,-6.2142,53.3415
Dublin Blanchardstown River Road,2011,PM10,15.926,-6.3699,53.3856
Clare Ennis Simms Lane,2012,PM10,19.204,-8.5919,52.5035
NA,2012,PM10,16.404,-7.3511,53.5167
Dublin Dun Laoghaire The Glen,2012,PM10,12.213,-6.1319,53.2858
Mayo Castlebar John Moore Road,2012,PM10,11.917,-9.2997,53.8511
Wicklow Bray Wurzburg Road,2012,PM10,16.712,-6.1217,53.1872
Monaghan Kilkitt Waterworks,2012,PM10,8.81,-6.8831,54.0661
Dublin Winetavern Street,2012,PM10,12.642,-6.2889,53.3417
Dublin Phoenix Park Ordnance Survey Road,2012,PM10,11.023,-6.349,53.3644
NA,2012,PM10,17.011,-8.475,51.9
Dublin Rathmines Wynnefield Road,2012,PM10,14.206,-6.2781,53.3539
NA,2012,PM10,20.254,-6.2142,53.3415
Mayo Claremorris,2012,PM10,10.355,-9.0127,53.7039
Cork Ballinlough Heatherton Park,2012,PM10,13.277,-8.4571,51.8819
NA,2012,PM10,10.71,-8.8778,52.7063
Galway City Bodkin Roundabout,2012,PM10,15.607,-9.0492,53.2817
NA,2012,PM10,17.266,-6.1906,53.614
