Air Quality Station Name,Year,Air Pollutant,value,Longitude,Latitude
Dublin Phoenix Park Ordnance Survey Road,2022,PM10,10.877,-6.349,53.3644
Dublin Ballyfermot Library,2022,PM10,12.626,-6.3523,53.3405
Dublin Marino Brian Road,2022,PM10,13.557,-6.2279,53.3682
Cork Bishopstown MTU,2022,PM10,13.702,-8.533,51.8841
Waterford Waterford City Paddy Brownes Road,2022,PM10,15.236,-7.1516,52.2471
Dublin Raheny Saint Anne's Park,2022,PM10,12.867,-6.1726,53.3688
Cork South Link Road Landfill,2022,PM10,15.786,-8.475,51.9111
Cork Ballinlough Heatherton Park,2022,PM10,11.853,-8.4571,51.8819
Wicklow Greystones,2022,PM10,11.591,-6.0703,53.1499
Westmeath Athlone,2022,PM10,12.375,-7.9377,53.4248
Offaly Birr,2022,PM10,13.977,-7.9085,53.0945
Monaghan Kilkitt Waterworks,2022,PM10,8.562,-6.8831,54.0661
Carlow Carlow Town County Council Offices,2022,PM10,11.385,-6.9317,52.8397
Laois Portlaoise Dublin Road,2022,PM10,11.984,-7.2887,53.0361
Tipperary Clonmel,2022,PM10,11.555,-7.6994,52.3547
Cork Cobh Carrignafoy,2022,PM10,13.216,-8.2878,51.855
Kerry Killarney,2022,PM10,17.908,-9.5049,52.0583
Cork Mallow,2022,PM10,13.492,-8.6407,52.134
Tipperary Town,2022,PM10,13.934,-8.1564,52.4792
Leitrim Carrick-on-Shannon,2022,PM10,10.193,-8.0865,53.9446
Wicklow Bray Wurzburg Road,2022,PM10,10.002,-6.1217,53.1872
Wexford Wexford Town Opera House,2022,PM10,14.52,-6.4616,52.3374
Mayo Castlebar John Moore Road,2022,PM10,11.252,-9.2997,53.8511
Kerry Tralee Library,2022,PM10,17.908,-9.6979,52.2673
Dublin Clonskeagh Road Richview,2022,PM10,11.329,-6.2353,53.3118
Offaly Edenderry,2022,PM10,17.724,-7.0475,53.3425
Dublin Dun Laoghaire The Glen,2022,PM10,12.185,-6.1319,53.2858
Limerick Shannon Estuary Asketon,2022,PM10,9.923,-8.9542,52.6392
Donegal Letterkenny Library,2022,PM10,14.585,-7.7352,54.9545
Dublin Dublin Airport,2022,PM10,11.74,-6.2304,53.4344
Cork Macroom Council Yard,2022,PM10,16.149,-8.9529,51.9047
Kildare Leixlip,2022,PM10,11.151,-6.4867,53.3719
Meath Navan,2022,PM10,14.167,-6.6893,53.6556
Mayo Claremorris,2022,PM10,8.017,-9.0127,53.7039
Kilkenny Seville Lodge,2022,PM10,17.505,-7.2681,52.6388
Clare Ennis Drumbiggle Road,2022,PM10,20.037,-8.9893,52.8432
Roscommon Roscommon Town County Council Offices,2022,PM10,11.243,-8.1944,53.6294
Kildare Naas,2022,PM10,12.255,-6.6591,53.2181
Cork Cobh Carrig House,2022,PM10,14.501,-8.2974,51.8495
Dublin Rathmines Wynnefield Road,2022,PM10,14.716,-6.2672,53.322
Galway Eyre Square,2022,PM10,NA,-9.0485,53.274
Cavan Cavan Town Court House,2022,PM10,10.964,-7.3628,53.9936
Dublin Tallaght Old Bawn Road,2022,PM10,11.054,-6.3588,53.2805
Dublin Blanchardstown River Road,2022,PM10,15.063,-6.3699,53.3856
Longford Town Dublin Road Railway,2022,PM10,16.039,-7.7914,53.7256
Wexford Enniscorthy Parnell Road,2022,PM10,15.027,-6.5708,52.4985
Dublin Ringsend recycling Centre,2022,PM10,16.229,-6.2141,53.3419
Louth Drogheda,2022,PM10,11.933,-6.32,53.7322
Louth Dundalk Meadow Grove,2022,PM10,22.979,-6.3926,54.0031
Dublin Dublin Port,2022,PM10,18.057,-6.2039,53.3527
Dublin Winetavern Street,2022,PM10,13.622,-6.2889,53.3417
Limerick Henry Street,2022,PM10,13.872,-8.6316,52.6613
Cork Lower Glanmire Road,2022,PM10,14.1,-8.4621,51.9017
Limerick Peoples Park,2022,PM10,13.938,-8.6287,52.6586
Dublin Pearse St.,2022,PM10,16.13,-6.2543,53.345
Dublin Kilmainham St. John's Road West,2022,PM10,14.551,-6.2948,53.3458
Dublin Marino Brian Road,2023,PM10,11.626,-6.2279,53.3682
Galway Galway City Rahoon Road,2023,PM10,12.708,-9.0859,53.2736
Galway Briarhill,2023,PM10,12.094,-8.987,53.2921
Waterford Waterford City Paddy Brownes Road,2023,PM10,12.229,-7.1516,52.2471
Cork South Link Road Landfill,2023,PM10,NA,-8.475,51.9111
Dublin Raheny Saint Anne's Park,2023,PM10,10.882,-6.1726,53.3688
Dublin Finglas Mellowes Road,2023,PM10,12.313,-6.3053,53.3903
Dublin Ballyfermot Library,2023,PM10,11.067,-6.3523,53.3405
Dublin Inchicore Davitt Road,2023,PM10,13.326,-6.309,53.3363
Cork Ballinlough Heatherton Park,2023,PM10,10.97,-8.4571,51.8819
Dublin Ringsend recycling Centre,2023,PM10,13.779,-6.2141,53.3419
Limerick Henry Street,2023,PM10,11.309,-8.6316,52.6613
Dublin Winetavern Street,2023,PM10,12.868,-6.2889,53.3417
Dublin Phoenix Park Ordnance Survey Road,2023,PM10,9.136,-6.349,53.3644
Cork Bishopstown MTU,2023,PM10,11.425,-8.533,51.8841
Donegal Malin Head,2023,PM10,12.803,-7.3389,55.3722
Kildare Naas,2023,PM10,10.886,-6.6591,53.2181
Mayo Castlebar John Moore Road,2023,PM10,9.853,-9.2997,53.8511
Kerry Tralee Library,2023,PM10,14.542,-9.6979,52.2673
Monaghan Kilkitt Waterworks,2023,PM10,7.149,-6.8831,54.0661
Cork Cobh Carrignafoy,2023,PM10,11.77,-8.2878,51.855
Carlow Carlow Town County Council Offices,2023,PM10,10.142,-6.9317,52.8397
Meath Navan,2023,PM10,13.169,-6.6893,53.6556
Kerry Killarney,2023,PM10,8.893,-9.5049,52.0583
Cork Cobh Carrig House,2023,PM10,11.38,-8.2974,51.8495
Laois Portlaoise Dublin Road,2023,PM10,11.008,-7.2887,53.0361
Kilkenny Seville Lodge,2023,PM10,13.89,-7.2681,52.6388
Wexford Wexford Town Opera House,2023,PM10,12.742,-6.4616,52.3374
Dublin Dun Laoghaire The Glen,2023,PM10,11.629,-6.1319,53.2858
Dublin Tallaght Old Bawn Road,2023,PM10,11.461,-6.3588,53.2805
Dublin Clonskeagh Road Richview,2023,PM10,10.284,-6.2353,53.3118
Kildare Leixlip,2023,PM10,10.114,-6.4867,53.3719
Offaly Birr,2023,PM10,13.095,-7.9085,53.0945
Westmeath Athlone,2023,PM10,11.557,-7.9377,53.4248
Mayo Claremorris,2023,PM10,8.074,-9.0127,53.7039
Wicklow Bray Wurzburg Road,2023,PM10,10.537,-6.1217,53.1872
Longford Town Dublin Road Railway,2023,PM10,13.135,-7.7914,53.7256
Roscommon Roscommon Town County Council Offices,2023,PM10,9.657,-8.1944,53.6294
Wicklow Greystones,2023,PM10,10.697,-6.0703,53.1499
Cavan Cavan Town Court House,2023,PM10,10.031,-7.3628,53.9936
Dublin Dublin Airport,2023,PM10,11.868,-6.2304,53.4344
Tipperary Clonmel,2023,PM10,9.316,-7.6994,52.3547
Cork Cork Port,2023,PM10,12.267,-8.3209,51.8306
Cork Macroom Council Yard,2023,PM10,7.334,-8.9529,51.9047
Offaly Edenderry,2023,PM10,16.305,-7.0475,53.3425
Tipperary Town,2023,PM10,10.756,-8.1564,52.4792
Louth Drogheda,2023,PM10,10.907,-6.32,53.7322
Dublin Swords Watery Lane,2023,PM10,9.008,-6.2235,53.4638
Cork Airport,2023,PM10,12.061,-8.4894,51.8519
Limerick Peoples Park,2023,PM10,11.362,-8.6287,52.6586
Cork Mallow,2023,PM10,10.501,-8.6407,52.134
Clare Ennis Drumbiggle Road,2023,PM10,16.364,-8.9893,52.8432
Dublin Lucan,2023,PM10,12.356,-6.4503,53.3492
Dublin Blanchardstown River Road,2023,PM10,13.305,-6.3699,53.3856
Donegal Letterkenny Library,2023,PM10,13.427,-7.7352,54.9545
Limerick Shannon Estuary Asketon,2023,PM10,8.391,-8.9542,52.6392
Galway Ballinalsoe,2023,PM10,13.744,-8.2241,53.3287
Leitrim Carrick-on-Shannon,2023,PM10,8.907,-8.0865,53.9446
Galway Eyre Square,2023,PM10,14.669,-9.0485,53.274
Louth Dundalk Meadow Grove,2023,PM10,13.217,-6.3926,54.0031
Wexford Enniscorthy Parnell Road,2023,PM10,13.338,-6.5708,52.4985
Dublin Pearse St.,2023,PM10,14.398,-6.2543,53.345
Dublin Dublin Port,2023,PM10,15.376,-6.2039,53.3527
Dublin Kilmainham St. John's Road West,2023,PM10,11.854,-6.2948,53.3458
Wateford Merchants Quay,2023,PM10,14.042,-7.1179,52.2638
Cork Lower Glanmire Road,2023,PM10,13.163,-8.4621,51.9017
Dublin Rathmines Wynnefield Road,2023,PM10,15.126,-6.2672,53.322
Dublin Phoenix Park Ordnance Survey Road,2024,PM10,9.953,-6.349,53.3644
Dublin Ringsend recycling Centre,2024,PM10,15.543,-6.2141,53.3419
Waterford Waterford City Paddy Brownes Road,2024,PM10,11.529,-7.1516,52.2471
Limerick Peoples Park,2024,PM10,12.25,-8.6287,52.6586
Dublin Raheny Saint Anne's Park,2024,PM10,10.678,-6.1726,53.3688
Galway Briarhill,2024,PM10,12.15,-8.987,53.2921
Dublin Inchicore Davitt Road,2024,PM10,17.177,-6.309,53.3363
Dublin Ballyfermot Library,2024,PM10,11.634,-6.3523,53.3405
Dublin Kilmainham St. John's Road West,2024,PM10,13.337,-6.2948,53.3458
Dublin Rathmines Wynnefield Road,2024,PM10,11.975,-6.2672,53.322
Cork South Link Road Landfill,2024,PM10,NA,-8.475,51.9111
Wateford Merchants Quay,2024,PM10,14.01,-7.1179,52.2638
Cork Bishopstown MTU,2024,PM10,11.282,-8.533,51.8841
Dublin Finglas Mellowes Road,2024,PM10,11.255,-6.3053,53.3903
Dublin Dublin Port,2024,PM10,14.788,-6.2039,53.3527
Dublin Marino Brian Road,2024,PM10,12.214,-6.2279,53.3682
Galway Eyre Square,2024,PM10,13.441,-9.0485,53.274
Limerick Henry Street,2024,PM10,11.977,-8.6316,52.6613
Dublin Pearse St.,2024,PM10,14.529,-6.2543,53.345
Cork Lower Glanmire Road,2024,PM10,13.787,-8.4621,51.9017
Cork Ballinlough Heatherton Park,2024,PM10,11.224,-8.4571,51.8819
Leitrim Carrick-on-Shannon,2024,PM10,9.552,-8.0865,53.9446
Donegal Malin Head,2024,PM10,13.329,-7.3389,55.3722
Cork Cork Port,2024,PM10,11.433,-8.3209,51.8306
Louth Dundalk Meadow Grove,2024,PM10,12.077,-6.3926,54.0031
Kildare Naas,2024,PM10,11.013,-6.6591,53.2181
Tipperary Town,2024,PM10,10.648,-8.1564,52.4792
Kerry Killarney,2024,PM10,11.314,-9.5049,52.0583
Westmeath Athlone,2024,PM10,11.797,-7.9377,53.4248
Cork Macroom Council Yard,2024,PM10,11.892,-8.9529,51.9047
Cork Cobh Carrig House,2024,PM10,NA,-8.2974,51.8495
Dublin Lucan,2024,PM10,13.151,-6.4503,53.3492
Galway Ballinalsoe,2024,PM10,12.689,-8.2241,53.3287
Cavan Cavan Town Court House,2024,PM10,10.41,-7.3628,53.9936
Cork Mallow,2024,PM10,9.95,-8.6407,52.134
Clare Ennis Drumbiggle Road,2024,PM10,16.02,-8.9893,52.8432
Louth Drogheda,2024,PM10,11.916,-6.32,53.7322
Wicklow Greystones,2024,PM10,10.638,-6.0703,53.1499
Offaly Birr,2024,PM10,12.979,-7.9085,53.0945
Offaly Edenderry,2024,PM10,15.537,-7.0475,53.3425
Kildare Leixlip,2024,PM10,10.182,-6.4867,53.3719
Dublin Dun Laoghaire The Glen,2024,PM10,11.954,-6.1319,53.2858
Kerry Tralee Library,2024,PM10,15.232,-9.6979,52.2673
Mayo Claremorris,2024,PM10,8.286,-9.0127,53.7039
Longford Town Dublin Road Railway,2024,PM10,15.693,-7.7914,53.7256
Dublin Blanchardstown River Road,2024,PM10,14.352,-6.3699,53.3856
Carlow Carlow Town County Council Offices,2024,PM10,11.443,-6.9317,52.8397
Wexford Wexford Town Opera House,2024,PM10,13.416,-6.4616,52.3374
Roscommon Roscommon Town County Council Offices,2024,PM10,9.815,-8.1944,53.6294
Dublin Clonskeagh Road Richview,2024,PM10,11.518,-6.2353,53.3118
Donegal Letterkenny Library,2024,PM10,14.245,-7.7352,54.9545
Tipperary Clonmel,2024,PM10,10.067,-7.6994,52.3547
Dublin Swords Watery Lane,2024,PM10,10.242,-6.2235,53.4638
Wexford Enniscorthy Parnell Road,2024,PM10,14.948,-6.5708,52.4985
Cork Cobh Carrignafoy,2024,PM10,11.546,-8.2878,51.855
Limerick Shannon Estuary Asketon,2024,PM10,8.355,-8.9542,52.6392
Meath Navan,2024,PM10,13.546,-6.6893,53.6556
Mayo Castlebar John Moore Road,2024,PM10,13.351,-9.2997,53.8511
Dublin Dublin Airport,2024,PM10,12.207,-6.2304,53.4344
Wicklow Bray Wurzburg Road,2024,PM10,9.202,-6.1217,53.1872
Cork Airport,2024,PM10,9.803,-8.4894,51.8519
Dublin Tallaght Old Bawn Road,2024,PM10,10.3,-6.3588,53.2805
Laois Portlaoise Dublin Road,2024,PM10,11.557,-7.2887,53.0361
Wateford Merchants Quay,2025,PM10,14.772,-7.1179,52.2638
Dublin Ringsend recycling Centre,2025,PM10,19.871,-6.2141,53.3419
Dublin Inchicore Davitt Road,2025,PM10,18.736,-6.309,53.3363
Dublin Rathmines Wynnefield Road,2025,PM10,14.273,-6.2672,53.322
Dublin Marino Brian Road,2025,PM10,15.027,-6.2279,53.3682
Dublin Raheny Saint Anne's Park,2025,PM10,12.551,-6.1726,53.3688
Limerick Henry Street,2025,PM10,12.968,-8.6316,52.6613
Dublin Finglas Mellowes Road,2025,PM10,11.52,-6.3053,53.3903
Dublin Dublin Port,2025,PM10,13.894,-6.2039,53.3527
Waterford Waterford City Paddy Brownes Road,2025,PM10,16.725,-7.1516,52.2471
Dublin Winetavern Street,2025,PM10,5.88,-6.2889,53.3417
Galway Briarhill,2025,PM10,12.892,-8.987,53.2921
Dublin Ballyfermot Library,2025,PM10,12.779,-6.3523,53.3405
Dublin Phoenix Park Ordnance Survey Road,2025,PM10,9.656,-6.349,53.3644
Galway Eyre Square,2025,PM10,16.013,-9.0485,53.274
Limerick Peoples Park,2025,PM10,12.942,-8.6287,52.6586
Cork Lower Glanmire Road,2025,PM10,16.316,-8.4621,51.9017
Dublin Kilmainham St. John's Road West,2025,PM10,13.908,-6.2948,53.3458
Cork Bishopstown MTU,2025,PM10,15.078,-8.533,51.8841
Cork Ballinlough Heatherton Park,2025,PM10,12.852,-8.4571,51.8819
Cork South Link Road Landfill,2025,PM10,NA,-8.475,51.9111
Dublin Pearse St.,2025,PM10,16.605,-6.2543,53.345
Dublin Dun Laoghaire The Glen,2025,PM10,14.192,-6.1319,53.2858
Sligo Sligo Town,2025,PM10,8.966,-8.4804,54.2673
Cavan Cavan Town Court House,2025,PM10,12.163,-7.3628,53.9936
Donegal Malin Head,2025,PM10,15.161,-7.3389,55.3722
Limerick Shannon Estuary Asketon,2025,PM10,9.209,-8.9542,52.6392
Kerry Tralee Library,2025,PM10,16.435,-9.6979,52.2673
Carlow Carlow Town County Council Offices,2025,PM10,13.27,-6.9317,52.8397
Kildare Naas,2025,PM10,12.956,-6.6591,53.2181
Leitrim Carrick-on-Shannon,2025,PM10,11.716,-8.0865,53.9446
Louth Drogheda,2025,PM10,16.307,-6.32,53.7322
Roscommon Roscommon Town County Council Offices,2025,PM10,12.838,-8.1944,53.6294
Wexford Enniscorthy Parnell Road,2025,PM10,15.89,-6.5708,52.4985
Kerry Killarney,2025,PM10,12.818,-9.5049,52.0583
Wicklow Greystones,2025,PM10,12.303,-6.0703,53.1499
Mayo Claremorris,2025,PM10,9.956,-9.0127,53.7039
Galway Ballinalsoe,2025,PM10,14.935,-8.2241,53.3287
Dublin Swords Watery Lane,2025,PM10,13.238,-6.2235,53.4638
Dublin Lucan,2025,PM10,16.839,-6.4503,53.3492
Clare Ennis Drumbiggle Road,2025,PM10,17.717,-8.9893,52.8432
Laois Portlaoise Dublin Road,2025,PM10,13.669,-7.2887,53.0361
Offaly Birr,2025,PM10,15.629,-7.9085,53.0945
Tipperary Town,2025,PM10,16.071,-8.1564,52.4792
Longford Town Dublin Road Railway,2025,PM10,14.32,-7.7914,53.7256
Meath Navan,2025,PM10,16.406,-6.6893,53.6556
Offaly Edenderry,2025,PM10,16.494,-7.0475,53.3425
Dublin Dublin Airport,2025,PM10,14.079,-6.2304,53.4344
Dublin Blanchardstown River Road,2025,PM10,14.335,-6.3699,53.3856
Cork Cobh Carrig House,2025,PM10,NA,-8.2974,51.8495
Donegal Letterkenny Library,2025,PM10,14.611,-7.7352,54.9545
Cork Airport,2025,PM10,10.922,-8.4894,51.8519
Cork Cork Port,2025,PM10,NA,-8.3209,51.8306
Wicklow Bray Wurzburg Road,2025,PM10,11.138,-6.1217,53.1872
Cork Mallow,2025,PM10,11.616,-8.6407,52.134
Westmeath Athlone,2025,PM10,12.449,-7.9377,53.4248
Wexford Wexford Town Opera House,2025,PM10,16.42,-6.4616,52.3374
Mayo Castlebar John Moore Road,2025,PM10,14.863,-9.2997,53.8511
Dublin Clonskeagh Road Richview,2025,PM10,13.47,-6.2353,53.3118
Louth Dundalk Meadow Grove,2025,PM10,15.228,-6.3926,54.0031
Dublin Amiens Street,2025,PM10,9.062,-6.249,53.3524
Kildare Leixlip,2025,PM10,12.822,-6.4867,53.3719
Cork Cobh Carrignafoy,2025,PM10,13.445,-8.2878,51.855
Cork Macroom Council Yard,2025,PM10,15.266,-8.9529,51.9047
Tipperary Clonmel,2025,PM10,12.191,-7.6994,52.3547
Dublin Tallaght Old Bawn Road,2025,PM10,11.894,-6.3588,53.2805
NA,2004,PM2.5,6.43,-9.6892,52.2708
NA,2004,PM2.5,10.159,-7.6958,52.3561
NA,2004,PM2.5,9.661,-8.475,51.9
NA,2005,PM2.5,10.992,-8.475,51.9
NA,2007,PM2.5,8.322,-8.475,51.9
NA,2008,PM2.5,9.176,-8.475,51.9
Clare Ennis Simms Lane,2009,PM2.5,8.349,-8.5919,52.5035
NA,2009,PM2.5,10.62,-8.475,51.9
Dublin Rathmines Wynnefield Road,2009,PM2.5,11.06,-6.2781,53.3539
Dublin Marino Brian Road,2009,PM2.5,8.159,-6.2279,53.3682
Dublin Coleraine Street,2009,PM2.5,9.961,-6.2667,53.3472
Clare Ennis Simms Lane,2010,PM2.5,11.756,-8.5919,52.5035
NA,2010,PM2.5,14.864,-8.475,51.9
Dublin Coleraine Street,2010,PM2.5,11.779,-6.2667,53.3472
Dublin Marino Brian Road,2010,PM2.5,9.958,-6.2279,53.3682
Dublin Rathmines Wynnefield Road,2010,PM2.5,11.756,-6.2781,53.3539
NA,2011,PM2.5,11.74,-8.475,51.9
Longford Town Dublin Road Railway,2011,PM2.5,8.863,-7.7914,53.7256
Clare Ennis Simms Lane,2011,PM2.5,13.649,-8.5919,52.5035
Mayo Claremorris,2011,PM2.5,5.846,-9.0127,53.7039
Dublin Coleraine Street,2011,PM2.5,11.212,-6.2667,53.3472
Dublin Marino Brian Road,2011,PM2.5,8.95,-6.2279,53.3682
Dublin Rathmines Wynnefield Road,2011,PM2.5,12.194,-6.2781,53.3539
Longford Town Dublin Road Railway,2013,PM2.5,14.972,-7.7914,53.7256
Mayo Claremorris,2013,PM2.5,7.907,-9.0127,53.7039
Cork South Link Road Landfill,2013,PM2.5,10.968,-8.475,51.9111
Dublin Marino Brian Road,2013,PM2.5,9.392,-6.2279,53.3682
Dublin Coleraine Street,2013,PM2.5,11.147,-6.2667,53.3472
Dublin Rathmines Wynnefield Road,2013,PM2.5,11.109,-6.2672,53.322
Longford Town Dublin Road Railway,2014,PM2.5,20.893,-7.7914,53.7256
Mayo Claremorris,2014,PM2.5,5.375,-9.0127,53.7039
Dublin Marino Brian Road,2014,PM2.5,7.824,-6.2279,53.3682
Dublin Coleraine Street,2014,PM2.5,9.433,-6.2667,53.3472
Dublin Rathmines Wynnefield Road,2014,PM2.5,9.582,-6.2672,53.322
Wicklow Bray Wurzburg Road,2015,PM2.5,6.563,-6.1217,53.1872
Clare Ennis Drumbiggle Road,2015,PM2.5,12.117,-8.9893,52.8432
Longford Town Dublin Road Railway,2015,PM2.5,NA,-7.7914,53.7256
Mayo Claremorris,2015,PM2.5,5.736,-9.0127,53.7039
Dublin Rathmines Wynnefield Road,2015,PM2.5,9.943,-6.2672,53.322
Dublin Marino Brian Road,2015,PM2.5,7.802,-6.2279,53.3682
Cork Ballinlough Heatherton Park,2015,PM2.5,6.83,-8.4571,51.8819
Dublin Finglas Mellowes Road,2015,PM2.5,8.138,-6.3053,53.3903
Dublin Coleraine Street,2015,PM2.5,9.425,-6.2667,53.3472
Wicklow Bray Wurzburg Road,2016,PM2.5,7.757,-6.1217,53.1872
Longford Town Dublin Road Railway,2016,PM2.5,11.901,-7.7914,53.7256
Clare Ennis Drumbiggle Road,2016,PM2.5,12.049,-8.9893,52.8432
Cork Ballinlough Heatherton Park,2016,PM2.5,7.067,-8.4571,51.8819
Mayo Claremorris,2016,PM2.5,5.756,-9.0127,53.7039
Dublin Marino Brian Road,2016,PM2.5,7.38,-6.2279,53.3682
Dublin Finglas Mellowes Road,2016,PM2.5,8.454,-6.3053,53.3903
Dublin Coleraine Street,2016,PM2.5,8.7,-6.2667,53.3472
Dublin Rathmines Wynnefield Road,2016,PM2.5,10.037,-6.2672,53.322
Dublin Marino Brian Road,2017,PM2.5,6.901,-6.2279,53.3682
Cork Ballinlough Heatherton Park,2017,PM2.5,5.725,-8.4571,51.8819
Clare Ennis Drumbiggle Road,2017,PM2.5,10.571,-8.9893,52.8432
Longford Town Dublin Road Railway,2017,PM2.5,9.205,-7.7914,53.7256
Mayo Claremorris,2017,PM2.5,5.562,-9.0127,53.7039
Wicklow Bray Wurzburg Road,2017,PM2.5,5.176,-6.1217,53.1872
Dublin Finglas Mellowes Road,2017,PM2.5,8.02,-6.3053,53.3903
Dublin Coleraine Street,2017,PM2.5,8.02,-6.2667,53.3472
Dublin Rathmines Wynnefield Road,2017,PM2.5,8.52,-6.2672,53.322
Longford Town Dublin Road Railway,2018,PM2.5,9.212,-7.7914,53.7256
Waterford Waterford City Paddy Brownes Road,2018,PM2.5,9.424,-7.1516,52.2471
Cork Ballinlough Heatherton Park,2018,PM2.5,7.674,-8.4571,51.8819
Dublin Finglas Mellowes Road,2018,PM2.5,8.345,-6.3053,53.3903
Dublin Raheny Saint Anne's Park,2018,PM2.5,6.544,-6.1726,53.3688
Dublin Phoenix Park Ordnance Survey Road,2018,PM2.5,5.679,-6.349,53.3644
Dublin Inchicore Davitt Road,2018,PM2.5,7.999,-6.309,53.3363
Dublin Kilmainham St. John's Road West,2018,PM2.5,9.316,-6.2948,53.3458
Clare Ennis Drumbiggle Road,2018,PM2.5,10.139,-8.9893,52.8432
Wicklow Bray Wurzburg Road,2018,PM2.5,6.161,-6.1217,53.1872
Wexford Enniscorthy Parnell Road,2018,PM2.5,12.907,-6.5708,52.4985
Cork Cobh Carrignafoy,2018,PM2.5,8.831,-8.2878,51.855
Roscommon Roscommon Town County Council Offices,2018,PM2.5,8.831,-8.1944,53.6294
Carlow Carlow Town County Council Offices,2018,PM2.5,8.173,-6.9317,52.8397
Mayo Claremorris,2018,PM2.5,6.345,-9.0127,53.7039
Dublin Marino Brian Road,2018,PM2.5,5.784,-6.2279,53.3682
Dublin Ballyfermot Library,2018,PM2.5,NA,-6.3523,53.3405
Cork UCC Distillery Fields,2018,PM2.5,8.76,-8.4864,51.9001
Dublin Rathmines Wynnefield Road,2018,PM2.5,9.435,-6.2672,53.322
Dublin Ringsend recycling Centre,2018,PM2.5,7.729,-6.2141,53.3419
Cork Cobh Carrignafoy,2019,PM2.5,8.401,-8.2878,51.855
Clare Ennis Drumbiggle Road,2019,PM2.5,16.036,-8.9893,52.8432
Carlow Carlow Town County Council Offices,2019,PM2.5,7.603,-6.9317,52.8397
Dublin Raheny Saint Anne's Park,2019,PM2.5,7.572,-6.1726,53.3688
Wexford Enniscorthy Parnell Road,2019,PM2.5,14.082,-6.5708,52.4985
Mayo Claremorris,2019,PM2.5,4.256,-9.0127,53.7039
Dublin Dun Laoghaire The Glen,2019,PM2.5,9.912,-6.1319,53.2858
Longford Town Dublin Road Railway,2019,PM2.5,8.583,-7.7914,53.7256
Roscommon Roscommon Town County Council Offices,2019,PM2.5,8.595,-8.1944,53.6294
Wicklow Bray Wurzburg Road,2019,PM2.5,6.543,-6.1217,53.1872
Dublin Marino Brian Road,2019,PM2.5,9.323,-6.2279,53.3682
Dublin Ballyfermot Library,2019,PM2.5,9.468,-6.3523,53.3405
Dublin Phoenix Park Ordnance Survey Road,2019,PM2.5,7.793,-6.349,53.3644
Waterford Waterford City Paddy Brownes Road,2019,PM2.5,10.505,-7.1516,52.2471
Dublin Finglas Mellowes Road,2019,PM2.5,8.66,-6.3053,53.3903
Dublin Inchicore Davitt Road,2019,PM2.5,10.5,-6.309,53.3363
Cork Ballinlough Heatherton Park,2019,PM2.5,8.456,-8.4571,51.8819
Cork UCC Distillery Fields,2019,PM2.5,7.924,-8.4864,51.9001
Dublin Rathmines Wynnefield Road,2019,PM2.5,10.434,-6.2672,53.322
Dublin Ringsend recycling Centre,2019,PM2.5,9.672,-6.2141,53.3419
Dublin Kilmainham St. John's Road West,2019,PM2.5,8.483,-6.2948,53.3458
Clare Ennis Drumbiggle Road,2020,PM2.5,14.382,-8.9893,52.8432
Offaly Birr,2020,PM2.5,6.391,-7.9085,53.0945
Cork Macroom Council Yard,2020,PM2.5,10.995,-8.9529,51.9047
Cork Cobh Carrignafoy,2020,PM2.5,8.039,-8.2878,51.855
Carlow Carlow Town County Council Offices,2020,PM2.5,7.23,-6.9317,52.8397
Donegal Letterkenny Library,2020,PM2.5,11.138,-7.7352,54.9545
Wicklow Bray Wurzburg Road,2020,PM2.5,5.184,-6.1217,53.1872
Dublin Marino Brian Road,2020,PM2.5,8.022,-6.2279,53.3682
Dublin Ringsend recycling Centre,2020,PM2.5,7.801,-6.2141,53.3419
Cork UCC Distillery Fields,2020,PM2.5,6.654,-8.4864,51.9001
Dublin Pearse St.,2020,PM2.5,7.751,-6.2543,53.345
Dublin Blanchardstown River Road,2020,PM2.5,7.028,-6.3699,53.3856
Wexford Wexford Town Opera House,2020,PM2.5,8.088,-6.4616,52.3374
Dublin Inchicore Davitt Road,2020,PM2.5,8.797,-6.309,53.3363
Waterford Waterford City Paddy Brownes Road,2020,PM2.5,9.62,-7.1516,52.2471
Cavan Cavan Town Court House,2020,PM2.5,5.987,-7.3628,53.9936
Roscommon Roscommon Town County Council Offices,2020,PM2.5,7.07,-8.1944,53.6294
Dublin Dun Laoghaire The Glen,2020,PM2.5,7.623,-6.1319,53.2858
Wexford Enniscorthy Parnell Road,2020,PM2.5,12.333,-6.5708,52.4985
Tipperary Town,2020,PM2.5,7.943,-8.1564,52.4792
Westmeath Athlone,2020,PM2.5,11.92,-7.9377,53.4248
Kerry Tralee Library,2020,PM2.5,11.742,-9.6979,52.2673
Longford Town Dublin Road Railway,2020,PM2.5,8.544,-7.7914,53.7256
Tipperary Clonmel,2020,PM2.5,7.797,-7.6994,52.3547
Laois Portlaoise Dublin Road,2020,PM2.5,8.281,-7.2887,53.0361
Mayo Claremorris,2020,PM2.5,5.14,-9.0127,53.7039
Meath Navan,2020,PM2.5,8.392,-6.6893,53.6556
Dublin Tallaght Old Bawn Road,2020,PM2.5,6.518,-6.3588,53.2805
Dublin Ballyfermot Library,2020,PM2.5,7.648,-6.3523,53.3405
Dublin Finglas Mellowes Road,2020,PM2.5,7.394,-6.3053,53.3903
Cork Ballinlough Heatherton Park,2020,PM2.5,7.691,-8.4571,51.8819
