Year,Location,Latitude,Longitude,Covariate,Value
2008,Monaghan Kilkitt Waterworks,54.0661,-6.8831,PM10,10.074
2008,Cork Ballinlough Heatherton Park,51.8819,-8.4571,PM10,14.886
2008,NA,51.9,-8.475,PM10,15.606
2008,Galway City Bodkin Roundabout,53.2817,-9.0492,PM10,17.741
2009,Dublin Tallaght Old Bawn Road,53.2805,-6.3588,PM10,11.544
2009,Dublin Blanchardstown River Road,53.3856,-6.3699,PM10,19.728
2009,NA,54.9589,-7.738,PM10,16.006
2009,NA,53.1894,-6.7958,PM10,13.578
2009,Clare Ennis Simms Lane,52.5035,-8.5919,PM10,15.748
2009,NA,53.7314,-6.3194,PM10,19.177
2009,Monaghan Kilkitt Waterworks,54.0661,-6.8831,PM10,7.552
2009,Dublin Winetavern Street,53.3417,-6.2889,PM10,17.286
2009,Dublin Phoenix Park Ordnance Survey Road,53.3644,-6.349,PM10,10.186
2009,Dublin Ballyfermot Library,53.3405,-6.3523,PM10,12.439
2009,Galway City Bodkin Roundabout,53.2817,-9.0492,PM10,13.961
2009,NA,53.3415,-6.2142,PM10,14.404
2009,Mayo Castlebar John Moore Road,53.8511,-9.2997,PM10,13.194
2009,NA,51.9,-8.475,PM10,18.166
2009,Dublin Rathmines Wynnefield Road,53.3539,-6.2781,PM10,14.74
2009,Dublin Dun Laoghaire The Glen,53.2858,-6.1319,PM10,15.363
2009,Cork Ballinlough Heatherton Park,51.8819,-8.4571,PM10,14.988
2010,Dublin Dun Laoghaire The Glen,53.2858,-6.1319,PM10,15.466
2010,Wicklow Bray Wurzburg Road,53.1872,-6.1217,PM10,12.725
2010,Dublin Tallaght Old Bawn Road,53.2805,-6.3588,PM10,11.788
2010,NA,53.2014,-6.3239,PM10,17.533
2010,Mayo Castlebar John Moore Road,53.8511,-9.2997,PM10,15.476
2010,Monaghan Kilkitt Waterworks,54.0661,-6.8831,PM10,9.545
2010,NA,53.1894,-6.7958,PM10,19.866
2010,NA,51.9,-8.475,PM10,22.181
2010,Cork Ballinlough Heatherton Park,51.8819,-8.4571,PM10,17.835
2010,Dublin Winetavern Street,53.3417,-6.2889,PM10,18.548
2010,Galway City Bodkin Roundabout,53.2817,-9.0492,PM10,16.354
2010,Dublin Phoenix Park Ordnance Survey Road,53.3644,-6.349,PM10,11.093
2010,NA,53.3415,-6.2142,PM10,23.102
2010,Clare Ennis Simms Lane,52.5035,-8.5919,PM10,27.493
2010,Dublin Ballyfermot Library,53.3405,-6.3523,PM10,12.537
2010,Dublin Rathmines Wynnefield Road,53.3539,-6.2781,PM10,18.134
2011,Dublin Dun Laoghaire The Glen,53.2858,-6.1319,PM10,14.778
2011,NA,53.2014,-6.3239,PM10,23.599
2011,NA,52.7063,-8.8778,PM10,11.341
2011,Clare Ennis Simms Lane,52.5035,-8.5919,PM10,21.188
2011,Mayo Castlebar John Moore Road,53.8511,-9.2997,PM10,14.327
2011,Mayo Claremorris,53.7039,-9.0127,PM10,11.518
2011,Dublin Tallaght Old Bawn Road,53.2805,-6.3588,PM10,13.218
2011,Monaghan Kilkitt Waterworks,54.0661,-6.8831,PM10,9.409
2011,NA,51.9,-8.475,PM10,20.645
2011,Galway City Bodkin Roundabout,53.2817,-9.0492,PM10,17.12
2011,Dublin Winetavern Street,53.3417,-6.2889,PM10,14.427
2011,Dublin Phoenix Park Ordnance Survey Road,53.3644,-6.349,PM10,11.99
2011,Cork Ballinlough Heatherton Park,51.8819,-8.4571,PM10,16.649
2011,Dublin Rathmines Wynnefield Road,53.3539,-6.2781,PM10,16.06
2011,Wicklow Bray Wurzburg Road,53.1872,-6.1217,PM10,12.599
2011,NA,53.3415,-6.2142,PM10,19.705
2011,Dublin Blanchardstown River Road,53.3856,-6.3699,PM10,15.926
2012,Clare Ennis Simms Lane,52.5035,-8.5919,PM10,19.204
2012,NA,53.5167,-7.3511,PM10,16.404
2012,Dublin Dun Laoghaire The Glen,53.2858,-6.1319,PM10,12.213
2012,Mayo Castlebar John Moore Road,53.8511,-9.2997,PM10,11.917
2012,Wicklow Bray Wurzburg Road,53.1872,-6.1217,PM10,16.712
2012,Monaghan Kilkitt Waterworks,54.0661,-6.8831,PM10,8.81
2012,Dublin Winetavern Street,53.3417,-6.2889,PM10,12.642
2012,Dublin Phoenix Park Ordnance Survey Road,53.3644,-6.349,PM10,11.023
2012,NA,51.9,-8.475,PM10,17.011
2012,Dublin Rathmines Wynnefield Road,53.3539,-6.2781,PM10,14.206
2012,NA,53.3415,-6.2142,PM10,20.254
2012,Mayo Claremorris,53.7039,-9.0127,PM10,10.355
2012,Cork Ballinlough Heatherton Park,51.8819,-8.4571,PM10,13.277
2012,NA,52.7063,-8.8778,PM10,10.71
2012,Galway City Bodkin Roundabout,53.2817,-9.0492,PM10,15.607
2012,NA,53.614,-6.1906,PM10,17.266
2013,Dublin Inchicore Davitt Road,53.3363,-6.309,PM10,13.188
2013,Cork Ballinlough Heatherton Park,51.8819,-8.4571,PM10,15.104
2013,Galway City Bodkin Roundabout,53.2817,-9.0492,PM10,20.782
2013,Dublin Raheny Saint Anne's Park,53.3688,-6.1726,PM10,19.388
2013,Cork South Link Road Landfill,51.9111,-8.475,PM10,18.652
2013,Dublin Winetavern Street,53.3417,-6.2889,PM10,13.647
2013,Dublin Ballyfermot Library,53.3405,-6.3523,PM10,12.226
2013,Dublin Finglas Mellowes Road,53.3903,-6.3053,PM10,14.664
2013,Monaghan Kilkitt Waterworks,54.0661,-6.8831,PM10,10.503
2013,Wicklow Bray Wurzburg Road,53.1872,-6.1217,PM10,19.779
2013,Mayo Castlebar John Moore Road,53.8511,-9.2997,PM10,14.894
2013,Dublin Tallaght Old Bawn Road,53.2805,-6.3588,PM10,16.724
2013,Mayo Claremorris,53.7039,-9.0127,PM10,13.232
2013,Dublin Blanchardstown River Road,53.3856,-6.3699,PM10,19.813
2013,Dublin Dun Laoghaire The Glen,53.2858,-6.1319,PM10,17.176
2013,Dublin Rathmines Wynnefield Road,53.322,-6.2672,PM10,16.463
2014,Cork South Link Road Landfill,51.9111,-8.475,PM10,19.329
2014,Dublin Raheny Saint Anne's Park,53.3688,-6.1726,PM10,17.25
2014,Dublin Inchicore Davitt Road,53.3363,-6.309,PM10,12.729
2014,Galway City Bodkin Roundabout,53.2817,-9.0492,PM10,15.048
2014,Cork Ballinlough Heatherton Park,51.8819,-8.4571,PM10,16.192
2014,Laois Portlaoise Dublin Road,53.0361,-7.2887,PM10,24.246
2014,Monaghan Kilkitt Waterworks,54.0661,-6.8831,PM10,8.893
2014,Mayo Claremorris,53.7039,-9.0127,PM10,9.467
2014,Dublin Tallaght Old Bawn Road,53.2805,-6.3588,PM10,14.678
2014,Dublin Dun Laoghaire The Glen,53.2858,-6.1319,PM10,13.78
2014,Dublin Blanchardstown River Road,53.3856,-6.3699,PM10,17.54
2014,Wicklow Bray Wurzburg Road,53.1872,-6.1217,PM10,16.9
2014,Dublin Winetavern Street,53.3417,-6.2889,PM10,13.971
2014,Wexford Enniscorthy Parnell Road,52.4985,-6.5708,PM10,13.794
2015,Dublin Inchicore Davitt Road,53.3363,-6.309,PM10,13.235
2015,Cork South Link Road Landfill,51.9111,-8.475,PM10,17.125
2015,Dublin Phoenix Park Ordnance Survey Road,53.3644,-6.349,PM10,11.568
2015,Dublin Raheny Saint Anne's Park,53.3688,-6.1726,PM10,15.198
2015,Cork Ballinlough Heatherton Park,51.8819,-8.4571,PM10,12.471
2015,Galway City Bodkin Roundabout,53.2817,-9.0492,PM10,15.173
2015,Dublin Ballyfermot Library,53.3405,-6.3523,PM10,11.672
2015,Dublin Tallaght Old Bawn Road,53.2805,-6.3588,PM10,14.116
2015,Laois Portlaoise Dublin Road,53.0361,-7.2887,PM10,15.215
2015,Mayo Claremorris,53.7039,-9.0127,PM10,10.208
2015,Dublin Dun Laoghaire The Glen,53.2858,-6.1319,PM10,13.291
2015,Monaghan Kilkitt Waterworks,54.0661,-6.8831,PM10,9.22
2015,Mayo Castlebar John Moore Road,53.8511,-9.2997,PM10,12.946
2015,Dublin Rathmines Wynnefield Road,53.322,-6.2672,PM10,15.331
2015,Dublin Winetavern Street,53.3417,-6.2889,PM10,13.833
2015,Dublin Blanchardstown River Road,53.3856,-6.3699,PM10,17.384
