Station Name: GALBALLY-Coolafullaun
Station Height: 76 M 
Latitude:52.393  ,Longitude: -6.637


date:  -  09 to 09 utc
rain:  -  Precipitation Amount (mm)
ind:   -  Indicator

date,ind,rain
07-feb-2020,0,4.300
08-feb-2020,0,10.900
09-feb-2020,0,12.200
10-feb-2020,0,3.400
11-feb-2020,0,3.200
12-feb-2020,0,11.900
13-feb-2020,0,4.500
14-feb-2020,0,3.800
15-feb-2020,0,14.800
16-feb-2020,0,5.800
17-feb-2020,0,0.400
18-feb-2020,0,3.600
19-feb-2020,0,6.700
20-feb-2020,0,3.600
21-feb-2020,0,6.100
22-feb-2020,0,6.400
23-feb-2020,0,13.200
24-feb-2020,0,3.200
25-feb-2020,0,1.600
26-feb-2020,0,1.800
27-feb-2020,1,13.300
28-feb-2020,1,8.600
29-feb-2020,0,0.500
01-mar-2020,0,0.200
02-mar-2020,0,0.000
03-mar-2020,0,0.000
04-mar-2020,0,4.700
05-mar-2020,0,3.400
06-mar-2020,0,0.100
07-mar-2020,0,2.800
08-mar-2020,0,1.400
09-mar-2020,0,6.200
10-mar-2020,0,1.400
11-mar-2020,0,3.600
12-mar-2020,0,2.000
13-mar-2020,0,8.400
14-mar-2020,0,2.000
15-mar-2020,0,1.500
16-mar-2020,0,1.400
17-mar-2020,0,2.300
18-mar-2020,0,5.600
19-mar-2020,0,0.100
20-mar-2020,0,0.000
21-mar-2020,0,0.000
22-mar-2020,0,0.000
23-mar-2020,0,0.000
24-mar-2020,0,0.000
25-mar-2020,0,0.000
26-mar-2020,0,0.000
27-mar-2020,0,0.100
28-mar-2020,0,0.300
29-mar-2020,0,0.100
30-mar-2020,0,0.000
31-mar-2020,0,0.000
01-apr-2020,0,0.000
02-apr-2020,0,0.000
03-apr-2020,0,0.000
04-apr-2020,0,0.000
05-apr-2020,0,5.100
06-apr-2020,0,0.300
07-apr-2020,0,0.100
08-apr-2020,0,0.100
09-apr-2020,0,0.100
10-apr-2020,0,0.000
11-apr-2020,0,0.000
12-apr-2020,0,1.300
13-apr-2020,0,0.100
14-apr-2020,0,0.000
15-apr-2020,0,0.000
16-apr-2020,0,0.000
17-apr-2020,1,22.200
18-apr-2020,1,0.900
19-apr-2020,0,0.100
20-apr-2020,4,0.000
21-apr-2020,0,0.000
22-apr-2020,0,0.000
23-apr-2020,0,0.000
24-apr-2020,0,0.000
25-apr-2020,0,0.000
26-apr-2020,0,0.000
27-apr-2020,0,0.000
28-apr-2020,0,0.000
29-apr-2020,0,15.600
30-apr-2020,0,3.800
01-may-2020,0,2.400
02-may-2020,0,0.100
03-may-2020,0,0.100
04-may-2020,0,0.000
05-may-2020,0,0.100
06-may-2020,0,0.300
07-may-2020,0,0.400
08-may-2020,0,0.000
09-may-2020,0,0.000
10-may-2020,0,0.000
11-may-2020,0,0.000
12-may-2020,0,0.000
13-may-2020,0,0.000
14-may-2020,0,0.000
15-may-2020,0,0.000
16-may-2020,0,0.000
17-may-2020,0,0.000
18-may-2020,0,0.000
19-may-2020,0,0.000
20-may-2020,0,0.000
21-may-2020,0,10.100
22-may-2020,0,3.500
23-may-2020,0,0.000
24-may-2020,0,0.000
25-may-2020,0,0.100
26-may-2020,0,0.000
27-may-2020,0,0.000
28-may-2020,0,0.100
29-may-2020,0,0.000
30-may-2020,0,0.000
31-may-2020,0,0.000
01-jun-2020,0,0.000
02-jun-2020,0,0.100
03-jun-2020,0,0.400
04-jun-2020,0,0.000
05-jun-2020,0,1.400
06-jun-2020,0,0.000
07-jun-2020,0,0.000
08-jun-2020,0,0.000
09-jun-2020,0,0.100
10-jun-2020,0,3.100
11-jun-2020,0,4.700
12-jun-2020,0,1.200
13-jun-2020,0,11.700
14-jun-2020,0,0.000
15-jun-2020,0,0.000
16-jun-2020,1,10.100
17-jun-2020,1,3.700
18-jun-2020,0,13.400
19-jun-2020,0,3.900
20-jun-2020,0,18.500
21-jun-2020,0,0.100
22-jun-2020,0,3.900
23-jun-2020,4,0.000
24-jun-2020,0,0.400
25-jun-2020,0,0.000
26-jun-2020,0,3.400
27-jun-2020,0,8.300
28-jun-2020,0,0.000
29-jun-2020,0,0.000
30-jun-2020,0,0.000
01-jul-2020,0,2.200
02-jul-2020,1,2.800
03-jul-2020,1,4.400
04-jul-2020,0,0.600
05-jul-2020,0,0.000
06-jul-2020,0,0.000
07-jul-2020,0,6.100
08-jul-2020,0,9.900
09-jul-2020,0,2.000
10-jul-2020,0,0.100
11-jul-2020,0,0.000
12-jul-2020,0,0.000
13-jul-2020,0,1.400
14-jul-2020,0,0.600
15-jul-2020,0,0.100
16-jul-2020,0,0.000
17-jul-2020,1,8.800
18-jul-2020,1,2.900
19-jul-2020,4,0.000
20-jul-2020,0,0.000
21-jul-2020,0,0.300
22-jul-2020,0,3.800
23-jul-2020,0,0.000
24-jul-2020,0,4.700
25-jul-2020,0,1.800
26-jul-2020,0,24.500
27-jul-2020,0,0.000
28-jul-2020,0,1.000
29-jul-2020,0,5.400
30-jul-2020,0,0.100
31-jul-2020,0,0.800
01-aug-2020,0,0.000
02-aug-2020,0,0.200
03-aug-2020,0,0.000
04-aug-2020,0,4.300
05-aug-2020,0,7.600
06-aug-2020,0,0.400
07-aug-2020,0,0.000
08-aug-2020,0,0.000
09-aug-2020,0,0.000
10-aug-2020,0,0.000
11-aug-2020,0,0.200
12-aug-2020,0,0.000
13-aug-2020,0,2.100
14-aug-2020,0,0.000
15-aug-2020,0,2.300
16-aug-2020,0,18.300
17-aug-2020,1,20.100
18-aug-2020,1,6.600
19-aug-2020,0,15.400
20-aug-2020,0,28.800
21-aug-2020,0,1.000
22-aug-2020,0,0.000
23-aug-2020,0,1.400
24-aug-2020,0,32.900
25-aug-2020,0,0.100
26-aug-2020,0,0.300
27-aug-2020,0,26.600
28-aug-2020,0,3.100
29-aug-2020,0,0.200
30-aug-2020,0,0.200
31-aug-2020,4,0.000
01-sep-2020,4,0.000
02-sep-2020,0,4.300
03-sep-2020,0,0.500
04-sep-2020,0,0.200
05-sep-2020,0,1.900
06-sep-2020,0,0.000
07-sep-2020,0,4.000
08-sep-2020,0,0.200
09-sep-2020,0,0.000
10-sep-2020,0,0.000
11-sep-2020,0,2.500
12-sep-2020,0,0.000
13-sep-2020,0,0.000
14-sep-2020,0,0.000
15-sep-2020,0,0.500
16-sep-2020,0,0.000
17-sep-2020,0,0.000
18-sep-2020,0,0.000
19-sep-2020,0,0.000
20-sep-2020,0,0.000
21-sep-2020,0,0.000
22-sep-2020,0,5.500
23-sep-2020,0,5.800
24-sep-2020,0,0.300
25-sep-2020,0,0.000
26-sep-2020,0,0.000
27-sep-2020,0,0.000
28-sep-2020,0,0.000
29-sep-2020,0,17.500
30-sep-2020,0,0.100
01-oct-2020,0,14.800
02-oct-2020,4,0.000
03-oct-2020,4,0.000
04-oct-2020,0,4.700
05-oct-2020,0,0.600
06-oct-2020,0,0.800
07-oct-2020,0,10.800
08-oct-2020,4,0.000
09-oct-2020,0,0.800
10-oct-2020,0,0.000
11-oct-2020,0,3.800
12-oct-2020,0,0.200
13-oct-2020,0,1.300
14-oct-2020,0,10.900
15-oct-2020,0,0.400
16-oct-2020,0,0.000
17-oct-2020,0,0.000
18-oct-2020,0,0.400
19-oct-2020,0,17.300
20-oct-2020,0,0.500
21-oct-2020,0,0.000
22-oct-2020,1,4.800
23-oct-2020,1,4.600
24-oct-2020,0,18.200
25-oct-2020,0,0.500
26-oct-2020,0,3.900
27-oct-2020,0,0.200
28-oct-2020,1,7.700
29-oct-2020,1,2.600
30-oct-2020,0,6.900
31-oct-2020,0,10.600
01-nov-2020,0,13.100
02-nov-2020,0,3.500
03-nov-2020,0,0.100
04-nov-2020,0,0.000
05-nov-2020,0,0.000
06-nov-2020,0,0.000
07-nov-2020,0,12.600
08-nov-2020,0,7.400
09-nov-2020,0,2.400
10-nov-2020,0,1.100
11-nov-2020,0,17.900
12-nov-2020,0,2.600
13-nov-2020,0,1.700
14-nov-2020,1,15.700
15-nov-2020,1,0.300
16-nov-2020,0,6.900
17-nov-2020,0,2.600
18-nov-2020,0,5.100
19-nov-2020,1,4.100
20-nov-2020,1,0.400
21-nov-2020,0,1.200
22-nov-2020,0,0.000
23-nov-2020,0,3.400
24-nov-2020,0,3.600
25-nov-2020,0,0.000
26-nov-2020,0,0.000
27-nov-2020,0,0.000
28-nov-2020,0,1.400
29-nov-2020,0,0.000
30-nov-2020,0,0.000
01-dec-2020,0,0.000
02-dec-2020,0,0.000
03-dec-2020,0,1.200
04-dec-2020,0,0.100
05-dec-2020,0,1.100
06-dec-2020,0,0.000
07-dec-2020,0,0.200
08-dec-2020,0,0.100
09-dec-2020,0,17.200
10-dec-2020,0,4.800
11-dec-2020,0,0.500
12-dec-2020,1,16.900
13-dec-2020,1,8.600
14-dec-2020,0,6.200
15-dec-2020,0,6.900
16-dec-2020,0,3.700
17-dec-2020,0,21.100
18-dec-2020,0,16.200
19-dec-2020,0,4.500
20-dec-2020,0,0.900
21-dec-2020,0,8.300
22-dec-2020,0,23.600
23-dec-2020,0,8.900
24-dec-2020,0,0.000
25-dec-2020,0,0.000
26-dec-2020,0,4.700
27-dec-2020,0,2.900
28-dec-2020,0,1.800
29-dec-2020,0,0.300
30-dec-2020,0,0.100
31-dec-2020,0,0.700
01-jan-2021,0,1.900
02-jan-2021,0,0.000
03-jan-2021,0,5.200
04-jan-2021,0,0.200
05-jan-2021,0,0.400
06-jan-2021,0,0.900
07-jan-2021,0,0.000
08-jan-2021,0,0.000
09-jan-2021,0,0.000
10-jan-2021,0,0.000
11-jan-2021,0,0.000
12-jan-2021,0,5.800
13-jan-2021,0,3.600
14-jan-2021,0,0.000
15-jan-2021,0,14.100
16-jan-2021,0,3.000
17-jan-2021,0,0.000
18-jan-2021,0,6.200
19-jan-2021,0,11.500
20-jan-2021,0,14.200
21-jan-2021,0,0.100
22-jan-2021,0,3.800
23-jan-2021,0,7.500
24-jan-2021,0,3.500
25-jan-2021,1,9.000
26-jan-2021,1,3.000
27-jan-2021,0,7.200
28-jan-2021,0,1.900
29-jan-2021,1,14.900
30-jan-2021,1,7.100
31-jan-2021,0,14.900
01-feb-2021,0,12.400
02-feb-2021,0,3.500
03-feb-2021,0,0.200
04-feb-2021,0,1.600
05-feb-2021,0,1.100
06-feb-2021,0,0.400
07-feb-2021,0,0.100
08-feb-2021,0,0.200
09-feb-2021,0,1.500
10-feb-2021,0,0.100
11-feb-2021,0,0.200
12-feb-2021,0,11.700
13-feb-2021,0,12.900
14-feb-2021,0,5.700
15-feb-2021,0,4.600
16-feb-2021,0,5.900
17-feb-2021,0,10.500
18-feb-2021,0,4.600
19-feb-2021,0,17.200
20-feb-2021,0,5.400
21-feb-2021,0,0.200
22-feb-2021,1,9.200
23-feb-2021,1,13.900
24-feb-2021,0,3.400
25-feb-2021,0,0.200
26-feb-2021,0,0.100
27-feb-2021,0,0.000
28-feb-2021,0,0.000
01-mar-2021,0,0.200
02-mar-2021,4,0.000
03-mar-2021,0,0.000
04-mar-2021,0,0.000
05-mar-2021,0,0.000
06-mar-2021,0,0.000
07-mar-2021,0,0.000
08-mar-2021,0,0.300
09-mar-2021,0,15.600
10-mar-2021,0,7.500
11-mar-2021,0,1.500
12-mar-2021,0,6.700
13-mar-2021,0,4.200
14-mar-2021,0,0.100
15-mar-2021,0,0.100
16-mar-2021,0,0.000
17-mar-2021,0,0.000
18-mar-2021,0,0.000
19-mar-2021,0,0.000
20-mar-2021,0,0.000
21-mar-2021,0,0.000
22-mar-2021,0,0.000
23-mar-2021,0,0.300
24-mar-2021,0,0.400
25-mar-2021,1,2.400
26-mar-2021,1,0.900
27-mar-2021,0,0.600
28-mar-2021,0,2.200
29-mar-2021,0,0.000
30-mar-2021,0,0.000
31-mar-2021,0,0.000
01-apr-2021,0,0.000
02-apr-2021,0,0.000
03-apr-2021,0,0.000
04-apr-2021,0,0.000
05-apr-2021,0,0.000
06-apr-2021,0,0.000
07-apr-2021,0,0.300
08-apr-2021,0,0.200
09-apr-2021,0,0.300
10-apr-2021,0,0.000
11-apr-2021,0,0.000
12-apr-2021,0,1.400
13-apr-2021,0,0.100
14-apr-2021,0,0.000
15-apr-2021,0,0.100
16-apr-2021,0,0.100
17-apr-2021,4,0.000
18-apr-2021,0,0.000
19-apr-2021,0,0.000
20-apr-2021,0,0.600
21-apr-2021,0,0.200
22-apr-2021,0,0.000
23-apr-2021,0,0.000
24-apr-2021,0,0.000
25-apr-2021,0,0.000
26-apr-2021,0,0.000
27-apr-2021,0,0.300
28-apr-2021,0,2.200
29-apr-2021,0,5.900
30-apr-2021,0,1.700
